census_tract_GEOID,total-households,total-renter-occupied-households,total-owner-occupied-households,total-owner-occupied-households-mortgage,median-gross-rent,median-household-income,median-property-value,median-monthly-housing-cost,pct-white,pct-af-am,pct-hispanic,pct-am-indian,pct-asian,pct-nh-pi,pct-multiple,pct-other,pct-below-poverty-level,households-children,single-parent-household,older-adult-alone,level-of-education,immigrant-status,english-fluency,drive-to-work,public-transport-to-work,vacant-properties,live-in-mobile-home,pct-renter-occupied,pct-owner-occupied,pct-owner-occupied-mortgage,pct-owner-occupied-without-mortgage,median-house-age,pct-non-white,pct-without-health-insurance,total-evictions,avg-evictions,total-foreclosure-sales,avg-foreclosure-sales,total-lien-foreclosures,avg-lien-foreclosures,total-evictions-2017,eviction-filings-2017,eviction-rate-2017,total-evictions-2018,eviction-filings-2018,eviction-rate-2018,total-evictions-2019,eviction-filings-2019,eviction-rate-2019,foreclosure-sales-2017,foreclosure-sales-2018,foreclosure-sales-2019,lien-foreclosures-2017,lien-foreclosures-2018,lien-foreclosures-2019,avg-foreclosure-rate,foreclosure-rate-2017,foreclosure-rate-2018,foreclosure-rate-2019,avg-lien-foreclosure-rate,lien-foreclosure-rate-2017,lien-foreclosure-rate-2018,lien-foreclosure-rate-2019,avg-eviction-rate,ratio-to-mean-foreclosure-rate,ratio-to-mean-eviction-rate,avg-housing-loss-rate,evictions-pct-total-housing-loss,housing-loss-index,county_GEOID,county,state
12086006501,1158,709,449,197,1353,62767,398300,2540,1113,0,1052,0,0,0,0,45,-888888888,164,40,135,408,1381,559,1593,46,111,0,61.22625216,38.77374784,17.01208981,21.76165803,70,-1013,19.33962264,9,3,18,6,,,3,5,0.6,3,10,0.3,3,5,0.6,5,11,2,,,,3.045685279,2.538071066,5.583756345,1.015228426,,,,,0.4231311707,1.308179084,0.289924371,0.9933774834,0.3333333333,0.5520068843,12086,Miami-Dade County,Florida
12086006503,959,366,593,253,1319,50391,418300,2121,891,29,848,0,14,0,12,13,-888888888,145,5,129,298,1177,408,950,44,64,20,38.16475495,61.83524505,26.38164755,35.4535975,75,-791,14.1025641,10,3.333333333,12,4,1,1,2,3,0.6666666667,7,8,0.875,1,2,0.5,2,9,1,0,0,1,1.581027668,0.790513834,3.557312253,0.395256917,0.1686340641,0,0,0.1686340641,0.9107468124,0.6790811056,0.6240327232,1.184706516,0.4545454545,0.658325927,12086,Miami-Dade County,Florida
12086004405,1790,1519,271,134,1263,35000,279700,1779,1103,179,1089,0,57,0,31,420,-888888888,148,236,415,201,652,945,593,378,444,0,84.8603352,15.1396648,7.48603352,7.653631285,62,-1003,32.88446001,69,23,9,3,1,1,24,31,0.7741935484,20,35,0.5714285714,25,53,0.4716981132,1,7,1,0,0,1,2.23880597,0.7462686567,5.223880597,0.7462686567,0.36900369,0,0,0.36900369,1.514154049,0.9616092522,1.037480079,1.572897762,0.8846153846,0.8740387286,12086,Miami-Dade County,Florida
12086004304,1229,765,464,211,1364,53809,282500,1694,915,41,622,30,27,0,23,193,-888888888,103,50,263,160,517,673,778,106,534,15,62.24572823,37.75427177,17.16842962,20.58584215,56,-815,31.54941735,24,8,18,6,1,1,3,7,0.4285714286,13,19,0.6842105263,8,21,0.380952381,10,6,2,0,0,1,2.843601896,4.739336493,2.843601896,0.9478672986,0.2155172414,0,0,0.2155172414,1.045751634,1.221380472,0.7165363975,1.43442623,0.5714285714,0.797091908,12086,Miami-Dade County,Florida
12086004403,1906,1445,461,268,1357,43917,291800,1815,1289,90,1237,0,0,0,89,438,-888888888,99,65,432,292,922,784,893,236,667,12,75.81322141,24.18677859,14.06086044,10.12591815,64,-1189,32.38587425,82,27.33333333,41,13.66666667,5,2.5,34,42,0.8095238095,22,33,0.6666666667,26,48,0.5416666667,14,20,7,0,1,4,5.099502488,5.223880597,7.462686567,2.611940299,0.5422993492,0,0.2169197397,0.8676789588,1.891580161,2.190332186,1.296087896,2.393461763,0.6666666667,1.33001542,12086,Miami-Dade County,Florida
12086004404,1228,973,255,30,1170,31023,383100,1545,925,0,801,0,11,0,47,245,-888888888,100,122,370,89,484,605,465,54,1006,0,79.23452769,20.76547231,2.442996743,18.32247557,53,-825,24.46043165,56,18.66666667,25,8.333333333,4,2,22,32,0.6875,28,40,0.7,6,29,0.2068965517,9,7,9,0,2,2,27.77777778,30,23.33333333,30,0.7843137255,0,0.7843137255,0.7843137255,1.918465228,11.93107776,1.314509218,2.691924227,0.6913580247,1.49586711,12086,Miami-Dade County,Florida
12086004406,1522,1099,423,310,1726,70000,409500,3073,1177,40,586,0,62,0,0,243,-888888888,68,25,414,240,585,809,900,38,618,24,72.20762155,27.79237845,20.36793693,7.424441524,51,-1077,19.71003135,43,14.33333333,17,5.666666667,,,16,71,0.2253521127,11,38,0.2894736842,16,44,0.3636363636,3,8,6,,,,1.827956989,0.9677419355,2.580645161,1.935483871,,,,,1.304215954,0.7851418912,0.8936330299,1.419446416,0.7166666667,0.7887678214,12086,Miami-Dade County,Florida
12086000301,1982,693,1289,852,1207,51366,232500,1776,604,1192,433,0,38,0,80,68,-888888888,386,110,251,511,3143,2361,2517,459,333,34,34.96468214,65.03531786,42.98688194,22.04843592,57,-504,26.34063197,101,33.66666667,85,28.33333333,8,2.666666667,43,65,0.6615384615,29,48,0.6041666667,29,45,0.6444444444,29,31,25,2,1,5,3.325508607,3.403755869,3.638497653,2.9342723,0.2068787174,0.155159038,0.07757951901,0.387897595,4.858104858,1.428368464,3.328714812,4.012944984,0.5430107527,2.229941079,12086,Miami-Dade County,Florida
12086000408,1648,1132,516,326,1028,35714,200900,1443,331,1200,466,16,0,0,8,93,-888888888,223,66,201,394,1013,2516,1603,251,241,10,68.68932039,31.31067961,19.7815534,11.52912621,63,-231,20.97442985,83,27.66666667,48,16,11,3.666666667,34,44,0.7727272727,30,53,0.5660377358,19,43,0.4418604651,19,15,14,4,3,4,4.90797546,5.828220859,4.601226994,4.294478528,0.7105943152,0.7751937984,0.5813953488,0.7751937984,2.444051826,2.108067727,1.674634812,2.994970279,0.6335877863,1.66426584,12086,Miami-Dade County,Florida
12086000503,2598,1905,693,518,936,21708,124500,1085,848,1642,1046,0,0,0,32,76,-888888888,231,55,155,387,1178,3280,2219,152,308,0,73.3256351,26.6743649,19.93841416,6.735950731,53,-748,25.59618442,278,92.66666667,57,19,25,8.333333333,81,148,0.5472972973,104,184,0.5652173913,93,154,0.6038961039,19,27,11,5,10,10,3.667953668,3.667953668,5.212355212,2.123552124,1.202501203,0.7215007215,1.443001443,1.443001443,4.864391951,1.575455055,3.333022652,4.608611914,0.8298507463,2.560945407,12086,Miami-Dade County,Florida
12086001002,1989,889,1100,622,1062,40355,127400,1266,296,1542,491,0,0,0,0,151,-888888888,124,105,57,364,642,3842,1853,310,225,119,44.69582705,55.30417295,31.27199598,24.03217697,64,-196,25.12158055,115,38.33333333,99,33,34,11.33333333,49,60,0.8166666667,41,71,0.5774647887,25,56,0.4464285714,39,46,14,16,8,10,5.305466238,6.270096463,7.395498392,2.250803859,1.03030303,1.454545455,0.7272727273,0.9090909091,4.311961005,2.278797488,2.954503636,4.720935363,0.5373831776,2.623362079,12086,Miami-Dade County,Florida
12086001402,2273,2063,210,98,918,26850,217300,-666666666,856,1288,859,0,0,0,28,101,-888888888,278,151,403,270,1378,1002,1377,640,194,0,90.76110867,9.238891333,4.311482622,4.927408711,27,-756,20.23716648,140,46.66666667,13,4.333333333,2,2,66,96,0.6875,52,92,0.5652173913,22,56,0.3928571429,9,3,1,2,0,0,4.421768707,9.183673469,3.06122449,1.020408163,0.9523809524,0.9523809524,0,0,2.26207788,1.899232786,1.54994846,2.36001851,0.9150326797,1.311431441,12086,Miami-Dade County,Florida
12086001702,1283,886,397,225,897,26078,178500,1266,534,701,548,29,0,0,0,19,-888888888,138,24,310,230,642,1849,1256,173,116,29,69.0568979,30.9431021,17.5370226,13.4060795,45,-434,29.58997127,97,32.33333333,23,7.666666667,28,9.333333333,41,64,0.640625,29,63,0.4603174603,27,51,0.5294117647,9,6,8,9,11,8,3.407407407,4,2.666666667,3.555555556,2.350965575,2.267002519,2.770780856,2.01511335,3.649360421,1.463545538,2.500497713,3.600360036,0.8083333333,2.000673016,12086,Miami-Dade County,Florida
12086003001,1168,937,231,161,897,32823,341300,1792,864,270,780,0,8,0,16,10,-888888888,77,118,277,226,553,786,734,199,281,11,80.22260274,19.77739726,13.78424658,5.993150685,47,-764,17.85869094,61,20.33333333,18,6,3,1.5,29,34,0.8529411765,17,21,0.8095238095,15,35,0.4285714286,13,4,1,0,1,2,3.726708075,8.074534161,2.48447205,0.6211180124,0.6493506494,0,0.4329004329,0.8658008658,2.170046247,1.600691178,1.486889496,2.398299939,0.7721518987,1.332703931,12086,Miami-Dade County,Florida
12086003003,2499,2133,366,241,1068,23618,207500,1763,2208,232,2249,0,20,0,0,39,-888888888,313,107,380,362,1848,546,1920,283,200,0,85.35414166,14.64585834,9.643857543,5.0020008,61,-2108,29.72932331,52,17.33333333,36,12,8,2.666666667,21,34,0.6176470588,19,35,0.5428571429,12,30,0.4,10,11,15,2,4,2,4.979253112,4.149377593,4.564315353,6.22406639,0.7285974499,0.5464480874,1.092896175,0.5464480874,0.812626973,2.138682818,0.5568021936,1.235607975,0.5909090909,0.6866112027,12086,Miami-Dade County,Florida
12086004500,2157,1129,1028,501,495,76635,1419600,4001,1860,20,931,0,22,0,46,209,-888888888,282,214,403,68,1233,2196,799,185,2668,0,52.34121465,47.65878535,23.22670376,24.43208159,26,-1760,5.05944852,26,8.666666667,52,17.33333333,9,3,15,19,0.7894736842,5,12,0.4166666667,6,17,0.3529411765,16,25,11,1,7,1,3.459747172,3.193612774,4.99001996,2.195608782,0.2918287938,0.09727626459,0.6809338521,0.09727626459,0.7676409802,1.486026451,0.5259783343,1.595092025,0.3333333333,0.8863717905,12086,Miami-Dade County,Florida
12086004902,2275,1442,833,325,1373,36285,260200,1953,2048,102,2188,0,0,0,83,42,-888888888,304,71,523,507,2407,322,2541,285,384,48,63.38461538,36.61538462,14.28571429,22.32967033,53,-1948,18.4073107,27,9,55,18.33333333,5,1.666666667,12,18,0.6666666667,10,20,0.5,5,17,0.2941176471,21,19,15,1,2,2,5.641025641,6.461538462,5.846153846,4.615384615,0.200080032,0.1200480192,0.2400960384,0.2400960384,0.6241331484,2.42292656,0.4276485001,1.546877948,0.3292682927,0.859579858,12086,Miami-Dade County,Florida
12086005502,2475,1733,742,334,1037,26394,301500,1871,2406,0,2409,0,27,0,0,42,-888888888,129,126,434,304,2384,436,1791,329,279,0,70.02020202,29.97979798,13.49494949,16.48484848,69,-2306,13.95870018,43,14.33333333,37,12.33333333,2,1,13,17,0.7647058824,20,36,0.5555555556,10,19,0.5263157895,20,13,4,1,0,1,3.69261477,5.988023952,3.892215569,1.19760479,0.1347708895,0.1347708895,0,0.1347708895,0.8270821312,1.586047463,0.5667066935,1.290114498,0.5375,0.7168997648,12086,Miami-Dade County,Florida
12086005901,1884,793,1091,634,1395,47356,344200,1973,1741,62,1797,0,0,0,27,54,-888888888,305,60,221,507,2398,392,2091,0,73,72,42.09129512,57.90870488,33.65180467,24.25690021,69,-1641,9.276844412,6,3,8,2.666666667,,,4,6,0.6666666667,2,6,0.3333333333,0,1,0,3,3,2,,,,0.4206098843,0.4731861199,0.4731861199,0.3154574132,,,,,0.3783102144,0.1806598525,0.2592135927,0.3971034805,0.5294117647,0.220665214,12086,Miami-Dade County,Florida
12086007400,2787,696,2091,945,2182,111875,847200,4001,2685,14,1495,0,62,0,26,0,-888888888,662,34,568,633,1843,2650,2582,87,556,0,24.97308934,75.02691066,33.90742734,41.11948332,63,-2585,1.376984685,15,5,44,14.66666667,4,2,8,17,0.4705882353,4,13,0.3076923077,3,13,0.2307692308,17,20,7,0,3,1,1.552028219,1.798941799,2.116402116,0.7407407407,0.0956480153,0,0.143472023,0.04782400765,0.7183908046,0.666625297,0.4922327084,1.198456226,0.2542372881,0.6659664611,12086,Miami-Dade County,Florida
12086007503,337,100,237,144,1932,71125,818500,4001,327,0,161,5,5,0,0,0,-888888888,69,15,77,149,183,413,259,50,85,5,29.6735905,70.3264095,42.72997033,27.59643917,53,-227,0.7168458781,1,1,2,2,,,1,3,0.3333333333,0,0,0,0,0,0,0,2,0,,,,1.388888889,0,1.388888889,0,,,,,1,0.5965538879,0.6851879301,1.229508197,0.3333333333,0.6832216355,12086,Miami-Dade County,Florida
12086007601,861,141,720,465,2194,117426,475900,2327,821,0,580,0,18,0,22,0,-888888888,191,14,102,466,678,908,1087,14,52,0,16.37630662,83.62369338,54.00696864,29.61672474,67,-721,8.172362556,2,1,16,5.333333333,1,1,1,2,0.5,1,1,1,0,1,0,3,6,7,0,1,0,1.146953405,0.6451612903,1.290322581,1.505376344,0.1388888889,0,0.1388888889,0,0.7092198582,0.4926380494,0.4859488866,1.04510451,0.1578947368,0.5807509171,12086,Miami-Dade County,Florida
12086008409,1819,396,1423,978,1664,92102,467500,2381,1609,71,1038,0,62,0,43,34,-888888888,355,68,270,388,1510,1859,2074,134,103,0,21.77020341,78.22979659,53.76580539,24.4639912,45,-1509,7.273083709,14,4.666666667,39,13,5,2.5,5,5,1,4,7,0.5714285714,5,8,0.625,19,11,9,0,3,2,1.329243354,1.942740286,1.124744376,0.9202453988,0.1756851722,0,0.2108222066,0.1405481377,1.178451178,0.5709350093,0.8074605237,1.2857836,0.2641509434,0.7144931417,12086,Miami-Dade County,Florida
12086008410,1889,219,1670,874,1872,84886,309800,2015,1673,32,1040,0,31,0,40,113,-888888888,451,49,333,504,1993,1360,2712,9,243,0,11.59343568,88.40656432,46.2678666,42.13869772,39,-1573,8.184991274,3,1,62,20.66666667,1,1,1,1,1,1,3,0.3333333333,1,1,1,25,18,19,0,1,0,2.36460717,2.860411899,2.059496568,2.173913043,0.05988023952,0,0.05988023952,0,0.4566210046,1.015643233,0.312871201,1.98231168,0.04615384615,1.101544692,12086,Miami-Dade County,Florida
12086006709,804,491,313,141,2711,109409,649700,3906,678,48,341,0,74,0,4,0,-888888888,60,16,177,96,324,544,431,11,937,0,61.06965174,38.93034826,17.53731343,21.39303483,15,-578,14.02961808,30,10,11,3.666666667,9,3,5,13,0.3846153846,14,28,0.5,11,25,0.44,3,4,4,1,2,6,2.600472813,2.127659574,2.836879433,2.836879433,0.9584664537,0.3194888179,0.6389776358,1.916932907,2.036659878,1.11695196,1.395494766,2.162447257,0.7317073171,1.201643678,12086,Miami-Dade County,Florida
12086006705,2048,954,1094,548,2115,77453,468500,2747,1854,64,1318,0,75,0,19,36,-888888888,168,156,519,273,1208,767,1443,38,813,0,46.58203125,53.41796875,26.7578125,26.66015625,36,-1754,4.538756263,2,1,32,10.66666667,25,8.333333333,1,1,1,1,1,1,0,0,0,15,7,10,5,7,13,1.946472019,2.737226277,1.277372263,1.824817518,0.761730652,0.4570383912,0.6398537477,1.188299817,0.1048218029,0.8360463247,0.07182263418,0.7767421216,0.08571428571,0.4316254451,12086,Miami-Dade County,Florida
12086006706,1258,540,718,368,2081,84286,396000,2476,1197,0,816,0,37,0,0,24,-888888888,219,91,382,134,900,411,1031,41,558,0,42.92527822,57.07472178,29.25278219,27.82193959,46,-1097,9.274040289,3,1.5,8,2.666666667,8,2.666666667,2,3,0.6666666667,1,1,1,0,1,0,2,1,5,2,2,4,0.7246376812,0.5434782609,0.2717391304,1.358695652,0.3714020427,0.278551532,0.278551532,0.5571030641,0.2777777778,0.3112455068,0.1903299806,0.4588839941,0.36,0.254995838,12086,Miami-Dade County,Florida
12086006707,2350,1320,1030,639,2369,107901,671500,3346,2194,0,1517,0,114,0,42,0,-888888888,247,15,587,152,931,1182,1832,0,1247,0,56.17021277,43.82978723,27.19148936,16.63829787,25,-2094,4.229885057,5,2.5,80,26.66666667,4,1.333333333,2,4,0.5,0,4,0,3,7,0.4285714286,23,34,23,1,1,2,4.173187272,3.599374022,5.320813772,3.599374022,0.1294498382,0.09708737864,0.09708737864,0.1941747573,0.1893939394,1.792462386,0.1297704413,1.488854858,0.08571428571,0.8273371855,12086,Miami-Dade County,Florida
12086006711,1515,1067,448,234,2302,100257,344300,2557,1268,93,809,0,36,0,47,71,-888888888,115,24,396,480,548,1180,1023,204,896,0,70.4290429,29.5709571,15.44554455,14.12541254,19,-1168,14.61249573,31,10.33333333,15,5,5,2.5,10,27,0.3703703704,7,25,0.28,14,37,0.3783783784,9,4,2,4,0,1,2.136752137,3.846153846,1.709401709,0.8547008547,0.5580357143,0.8928571429,0,0.2232142857,0.9684473602,0.9177752122,0.6635684422,1.178580579,0.6739130435,0.6549218239,12086,Miami-Dade County,Florida
12086006713,1303,883,420,262,2413,100037,365500,2408,1080,10,544,0,78,0,63,72,-888888888,166,0,312,199,599,797,880,160,512,0,67.76669225,32.23330775,20.10744436,12.12586339,16,-980,9.964692036,16,5.333333333,77,25.66666667,7,3.5,5,11,0.4545454545,7,10,0.7,4,7,0.5714285714,32,31,14,0,4,3,9.796437659,12.21374046,11.83206107,5.34351145,0.8333333333,0,0.9523809524,0.7142857143,0.60400151,4.207754141,0.4138545444,2.707423581,0.1720430108,1.504479898,12086,Miami-Dade County,Florida
12086006714,896,421,475,266,1880,81750,399700,2567,800,29,488,0,8,0,33,26,-888888888,126,21,292,199,478,478,610,29,743,0,46.98660714,53.01339286,29.6875,23.32589286,36,-700,7.973621103,2,2,27,9,1,1,2,4,0.5,0,0,0,0,1,0,11,9,7,0,1,0,3.383458647,4.135338346,3.383458647,2.631578947,0.2105263158,0,0.2105263158,0,0.4750593824,1.453259095,0.3255049549,1.601164483,0.1818181818,0.8897461764,12086,Miami-Dade County,Florida
12086006801,1270,397,873,501,1736,111136,920500,3127,1263,7,460,0,0,0,0,0,-888888888,149,38,258,152,463,1563,850,31,505,0,31.25984252,68.74015748,39.4488189,29.29133858,30,-1163,2.006920415,4,2,14,4.666666667,,,2,4,0.5,2,5,0.4,0,1,0,4,6,4,,,,0.9314703925,0.7984031936,1.19760479,0.7984031936,,,,,0.5037783375,0.4000840446,0.3451828363,0.7423904974,0.3,0.4125366965,12086,Miami-Dade County,Florida
12086007101,1022,617,405,210,1269,51429,438000,2477,672,255,448,32,0,0,33,30,-888888888,145,0,128,195,529,1063,911,44,250,0,60.37181996,39.62818004,20.54794521,19.08023483,49,-572,16.88969259,57,19,49,16.33333333,7,3.5,23,34,0.6764705882,22,49,0.4489795918,12,30,0.4,15,26,8,5,0,2,7.777777778,7.142857143,12.38095238,3.80952381,0.8641975309,1.234567901,0,0.4938271605,3.079416532,3.340701772,2.109979039,4.272470778,0.5377358491,2.374156171,12086,Miami-Dade County,Florida
12086007103,829,365,464,267,1797,97708,456900,2065,775,21,304,0,20,0,6,7,-888888888,76,18,215,196,270,759,708,13,392,0,44.02895054,55.97104946,32.20747889,23.76357057,37,-675,10.0330033,7,3.5,17,5.666666667,7,3.5,5,6,0.8333333333,2,5,0.4,0,3,0,3,7,7,5,0,2,2.122347066,1.123595506,2.621722846,2.621722846,0.7543103448,1.077586207,0,0.4310344828,0.9589041096,0.9115879636,0.657029522,1.450421941,0.3818181818,0.8059805158,12086,Miami-Dade County,Florida
12086007104,1536,873,663,485,1886,82452,461900,2338,1447,24,627,0,24,0,33,8,-888888888,338,46,356,300,519,1521,1703,89,179,0,56.8359375,43.1640625,31.57552083,11.58854167,37,-1347,9.918516437,16,5.333333333,21,7,,,5,5,1,3,6,0.5,8,12,0.6666666667,9,7,5,,,,1.443298969,1.855670103,1.443298969,1.030927835,,,,,0.6109201985,0.6199240403,0.4185951463,0.9081983309,0.4324324324,0.5046739425,12086,Miami-Dade County,Florida
12086007605,1509,708,801,515,1613,69861,360500,1931,1347,83,1086,8,24,0,47,0,-888888888,218,17,220,658,1093,1017,1650,40,304,0,46.91848907,53.08151093,34.12856196,18.95294897,42,-1247,7.977354606,15,5,24,8,4,2,7,11,0.6363636364,3,6,0.5,5,10,0.5,10,10,4,2,0,2,1.553398058,1.941747573,1.941747573,0.7766990291,0.2496878901,0.2496878901,0,0.2496878901,0.7062146893,0.6672136688,0.4838897812,1.062959935,0.3846153846,0.5906729429,12086,Miami-Dade County,Florida
12086007606,1693,416,1277,812,1389,82943,468400,2420,1404,165,892,0,43,0,81,0,-888888888,338,50,237,555,1136,1625,1613,73,71,0,24.5717661,75.4282339,47.96219728,27.46603662,63,-1304,8.0017208,15,5,33,11,5,1.666666667,5,7,0.7142857143,8,10,0.8,2,5,0.4,17,8,8,1,3,1,1.354679803,2.093596059,0.9852216749,0.9852216749,0.1305142261,0.07830853563,0.2349256069,0.07830853563,1.201923077,0.5818604424,0.8235431852,1.302931596,0.3125,0.7240220589,12086,Miami-Dade County,Florida
